Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_5:Line_1_5),RLGC1[1 2] - (Line_1_5:Line_2_6),RLGC1[1 3] - (Line_1_5:Line_3_7),RLGC1[1 4] - (Line_1_5:Line_4_8),RLGC1[2 2] - (Line_2_6:Line_2_6),RLGC1[2 3] - (Line_2_6:Line_3_7),RLGC1[2 4] - (Line_2_6:Line_4_8),RLGC1[3 3] - (Line_3_7:Line_3_7),RLGC1[3 4] - (Line_3_7:Line_4_8),RLGC1[4 4] - (Line_4_8:Line_4_8)
3.1e+09,Capacitance,4.24124e-13,-1.05867e-13,-4.1111e-15,-1.28528e-15,4.31832e-13,-5.0345e-14,-4.09542e-15,4.31951e-13,-1.05886e-13,4.23457e-13
3.2e+09,Resistance,0.224216,0.0243184,0.00722631,-0.0085977,0.229472,0.037828,0.00751629,0.228617,0.0238965,0.217113
3.2e+09,Inductance,2.07846e-09,7.59764e-10,2.31865e-10,1.26716e-10,2.06384e-09,4.69556e-10,2.31863e-10,2.06353e-09,7.59995e-10,2.08039e-09
3.2e+09,Conductance,0.000137726,-2.5968e-05,7.10028e-07,3.18051e-06,0.000137065,-1.19689e-05,6.82992e-07,0.000137139,-2.59437e-05,0.000137468
3.2e+09,Capacitance,4.24007e-13,-1.05823e-13,-4.0955e-15,-1.28183e-15,4.3171e-13,-5.03244e-14,-4.07983e-15,4.31829e-13,-1.05842e-13,4.2334e-13
3.3e+09,Resistance,0.228407,0.0248872,0.00787432,-0.0082733,0.233837,0.0384575,0.00816731,0.232988,0.0244808,0.221172
3.3e+09,Inductance,2.07832e-09,7.59764e-10,2.31872e-10,1.26758e-10,2.06369e-09,4.69561e-10,2.31869e-10,2.06338e-09,7.59996e-10,2.08026e-09
3.3e+09,Conductance,0.000141943,-2.66884e-05,6.44074e-07,3.23205e-06,0.000141353,-1.22115e-05,6.18376e-07,0.000141429,-2.66691e-05,0.000141676
3.3e+09,Capacitance,4.23895e-13,-1.05779e-13,-4.07945e-15,-1.27843e-15,4.31592e-13,-5.03045e-14,-4.06379e-15,4.31711e-13,-1.05799e-13,4.23227e-13
3.4e+09,Resistance,0.232564,0.0254298,0.00853096,-0.00782499,0.238123,0.0390511,0.0088264,0.237281,0.0250397,0.225199
3.4e+09,Inductance,2.07819e-09,7.59769e-10,2.3188e-10,1.26802e-10,2.06356e-09,4.69571e-10,2.31877e-10,2.06325e-09,7.6e-10,2.08014e-09
3.4e+09,Conductance,0.00014616,-2.74016e-05,5.82813e-07,3.25732e-06,0.000145639,-1.24494e-05,5.5857e-07,0.000145718,-2.73875e-05,0.000145884
3.4e+09,Capacitance,4.23787e-13,-1.05737e-13,-4.06306e-15,-1.27495e-15,4.31478e-13,-5.02851e-14,-4.04742e-15,4.31597e-13,-1.05756e-13,4.23119e-13
3.5e+09,Resistance,0.236685,0.025947,0.00919208,-0.00725404,0.242326,0.0396108,0.00948947,0.241493,0.0255738,0.229191
3.5e+09,Inductance,2.07807e-09,7.59778e-10,2.31891e-10,1.26848e-10,2.06343e-09,4.69587e-10,2.31888e-10,2.06312e-09,7.60009e-10,2.08002e-09
3.5e+09,Conductance,0.000150376,-2.81083e-05,5.27371e-07,3.256e-06,0.000149924,-1.26838e-05,5.04681e-07,0.000150006,-2.80996e-05,0.000150091
3.5e+09,Capacitance,4.23683e-13,-1.05696e-13,-4.04648e-15,-1.27131e-15,4.31369e-13,-5.02662e-14,-4.03087e-15,4.31488e-13,-1.05715e-13,4.23016e-13
3.6e+09,Resistance,0.240765,0.02644,0.00985399,-0.00656398,0.246445,0.0401387,0.0101529,0.245622,0.0260839,0.233144
