Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_5:Line_1_5),RLGC1[1 2] - (Line_1_5:Line_2_6),RLGC1[1 3] - (Line_1_5:Line_3_7),RLGC1[1 4] - (Line_1_5:Line_4_8),RLGC1[2 2] - (Line_2_6:Line_2_6),RLGC1[2 3] - (Line_2_6:Line_3_7),RLGC1[2 4] - (Line_2_6:Line_4_8),RLGC1[3 3] - (Line_3_7:Line_3_7),RLGC1[3 4] - (Line_3_7:Line_4_8),RLGC1[4 4] - (Line_4_8:Line_4_8)
4.1e+08,Conductance,5.92791e-05,-5.36112e-06,-3.26703e-05,-1.49307e-06,5.8632e-05,-1.54743e-06,-3.20392e-05,5.85218e-05,-4.07836e-07,5.79344e-05
4.1e+08,Capacitance,1.57823e-12,-1.5779e-13,-9.32607e-13,-4.71658e-14,1.57546e-12,-4.7284e-14,-9.29858e-13,1.5486e-12,-1.82749e-14,1.54567e-12
4.2e+08,Resistance,0.357721,0.142903,0.111916,0.11867,0.357358,0.119265,0.111486,0.35738,0.104076,0.355498
4.2e+08,Inductance,1.32209e-08,4.14218e-09,9.17694e-09,3.52516e-09,1.32499e-08,3.52764e-09,9.1786e-09,1.32224e-08,3.03755e-09,1.32379e-08
4.2e+08,Conductance,6.07152e-05,-5.51286e-06,-3.33938e-05,-1.53709e-06,6.01136e-05,-1.58774e-06,-3.28051e-05,5.99383e-05,-4.26815e-07,5.93907e-05
4.2e+08,Capacitance,1.57816e-12,-1.57787e-13,-9.32572e-13,-4.71625e-14,1.57541e-12,-4.72782e-14,-9.29832e-13,1.54853e-12,-1.8272e-14,1.54562e-12
4.3e+08,Resistance,0.366667,0.148933,0.117525,0.124386,0.366243,0.124901,0.117228,0.366336,0.109517,0.364454
4.3e+08,Inductance,1.32188e-08,4.14164e-09,9.17624e-09,3.52477e-09,1.32478e-08,3.52724e-09,9.17789e-09,1.32204e-08,3.03724e-09,1.32359e-08
4.3e+08,Conductance,6.21489e-05,-5.66436e-06,-3.4118e-05,-1.58129e-06,6.15918e-05,-1.62749e-06,-3.35715e-05,6.13528e-05,-4.45188e-07,6.08441e-05
4.3e+08,Capacitance,1.5781e-12,-1.57783e-13,-9.32541e-13,-4.71591e-14,1.57535e-12,-4.72727e-14,-9.29806e-13,1.54847e-12,-1.82691e-14,1.54557e-12
4.4e+08,Resistance,0.375675,0.155082,0.123245,0.130227,0.375203,0.130658,0.123094,0.375349,0.115083,0.373484
4.4e+08,Inductance,1.32169e-08,4.14111e-09,9.17555e-09,3.52437e-09,1.32459e-08,3.52684e-09,9.17718e-09,1.32185e-08,3.03692e-09,1.32339e-08
4.4e+08,Conductance,6.35807e-05,-5.81559e-06,-3.48433e-05,-1.62557e-06,6.30666e-05,-1.66672e-06,-3.43386e-05,6.27655e-05,-4.6298e-07,6.22945e-05
