Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_5:Line_1_5),RLGC1[1 2] - (Line_1_5:Line_2_6),RLGC1[1 3] - (Line_1_5:Line_3_7),RLGC1[1 4] - (Line_1_5:Line_4_8),RLGC1[2 2] - (Line_2_6:Line_2_6),RLGC1[2 3] - (Line_2_6:Line_3_7),RLGC1[2 4] - (Line_2_6:Line_4_8),RLGC1[3 3] - (Line_3_7:Line_3_7),RLGC1[3 4] - (Line_3_7:Line_4_8),RLGC1[4 4] - (Line_4_8:Line_4_8)
3.01e+09,Inductance,7.32232e-09,2.38261e-09,5.13245e-09,1.95818e-09,7.32189e-09,1.95809e-09,5.13247e-09,7.34239e-09,1.59032e-09,7.34204e-09
3.01e+09,Conductance,5.34712e-06,4.52894e-06,6.3045e-06,3.36587e-06,5.3866e-06,3.35697e-06,6.2519e-06,8.35453e-06,1.32426e-06,8.42201e-06
3.01e+09,Capacitance,3.18983e-13,-3.55251e-14,-2.03031e-13,-1.17123e-14,3.19057e-13,-1.17112e-14,-2.03103e-13,3.0959e-13,-5.53829e-15,3.09659e-13
3.11e+09,Resistance,77.3845,75.1208,77.1846,74.4061,77.3781,74.4083,77.1745,77.8638,73.5477,77.851
3.11e+09,Inductance,7.31817e-09,2.38117e-09,5.12828e-09,1.95752e-09,7.31775e-09,1.95742e-09,5.12832e-09,7.3374e-09,1.59062e-09,7.33707e-09
3.11e+09,Conductance,5.6352e-06,4.83745e-06,6.74929e-06,3.57584e-06,5.68678e-06,3.56659e-06,6.67979e-06,8.78443e-06,1.49564e-06,8.86899e-06
3.11e+09,Capacitance,3.18975e-13,-3.55284e-14,-2.03039e-13,-1.17171e-14,3.19049e-13,-1.17159e-14,-2.0311e-13,3.09576e-13,-5.53637e-15,3.09645e-13
3.21e+09,Resistance,77.5977,75.2358,77.3965,74.4858,77.5913,74.4881,77.3862,78.0933,73.585,78.08
3.21e+09,Inductance,7.31425e-09,2.37993e-09,5.12434e-09,1.95704e-09,7.31385e-09,1.95694e-09,5.1244e-09,7.33266e-09,1.59112e-09,7.33236e-09
3.21e+09,Conductance,5.93518e-06,5.16055e-06,7.20033e-06,3.79565e-06,5.99777e-06,3.78629e-06,7.11549e-06,9.22992e-06,1.68095e-06,9.33041e-06
3.21e+09,Capacitance,3.18967e-13,-3.55325e-14,-2.03047e-13,-1.17219e-14,3.19041e-13,-1.17206e-14,-2.03119e-13,3.09562e-13,-5.53507e-15,3.09631e-13
3.31e+09,Resistance,77.8141,75.3536,77.6112,74.5679,77.8075,74.5703,77.6007,78.3253,73.6244,78.3116
3.31e+09,Inductance,7.31056e-09,2.37887e-09,5.12062e-09,1.95675e-09,7.31017e-09,1.95665e-09,5.1207e-09,7.32818e-09,1.59179e-09,7.32789e-09
3.31e+09,Conductance,6.24789e-06,5.49659e-06,7.65622e-06,4.02617e-06,6.32029e-06,4.0169e-06,7.55778e-06,9.69189e-06,1.8797e-06,9.80699e-06
3.31e+09,Capacitance,3.18959e-13,-3.55373e-14,-2.03056e-13,-1.17266e-14,3.19033e-13,-1.17252e-14,-2.03127e-13,3.09548e-13,-5.5344e-15,3.09617e-13
3.41e+09,Resistance,78.0339,75.4746,77.8291,74.6527,78.0271,74.6552,77.8183,78.5603,73.6662,78.5462
3.41e+09,Inductance,7.30708e-09,2.37799e-09,5.11712e-09,1.95664e-09,7.3067e-09,1.95652e-09,5.11722e-09,7.32394e-09,1.59264e-09,7.32367e-09
3.41e+09,Conductance,6.57403e-06,5.84391e-06,8.11568e-06,4.26815e-06,6.65492e-06,4.25914e-06,8.00553e-06,1.0171e-05,2.09132e-06,1.02993e-05
3.41e+09,Capacitance,3.18951e-13,-3.55428e-14,-2.03066e-13,-1.17314e-14,3.19024e-13,-1.173e-14,-2.03137e-13,3.09534e-13,-5.53435e-15,3.09603e-13
3.51e+09,Resistance,78.2573,75.599,78.0504,74.7407,78.2504,74.7433,78.0394,78.7985,73.7109,78.7839
3.51e+09,Inductance,7.30381e-09,2.37727e-09,5.11382e-09,1.95668e-09,7.30344e-09,1.95657e-09,5.11393e-09,7.31992e-09,1.59365e-09,7.31968e-09
3.51e+09,Conductance,6.9141e-06,6.20088e-06,8.57755e-06,4.5222e-06,7.00209e-06,4.51358e-06,8.45769e-06,1.06678e-05,2.31519e-06,1.08075e-05
